quotes,processed_quotes
"12. Каждые выходные используйте 60 минут, чтобы выработать план на ближайшие семь дней. Как Сол Беллоу однажды сказал: «План избавляет вас от мук выбора».", 12 каждый выходной использовать 60 минута вырабатывать план близкий семь день сол беллоу однажды сказать : « план избавлять мука выбор » 
"13. Отпустите то, что вас держит, и полюбите этот новый год. Вы не можете предвидеть, если вы не любите.", 13 отпускать держать полюбить новый год мочь предвидеть любить 
14. Разрушайте или будете разрушены., 14 разрушать разрушать 
"15. Наймите личного тренера, чтобы быть в самой лучшей форме. Звезды акцентируются на ценностях, которые они получают, независимо от стоимости услуг.", 15 наймит личный тренер самый хороший форма звезда акцентироваться ценность который получать независимо стоимость услуга 
17. Каждое утро спрашивайте себя: «Как я могу лучше всего служить людям?», 17 каждый утро спрашивать : « мочь служить человек »  
19. Не тратьте ваши самые ценные утренние часы на выполнение простой работы., 19 тратить ваш самый ценный утренний час выполнение простой работа 
"20. Старайтесь оставлять каждый проект в лучшем состоянии, чем вы его начинали.", 20 стараться оставлять каждый проект хороший состояние начинать 
"21. Имейте мужество быть разным. Имейте смелость создать в выбранной вами сфере нечто значительное, что еще никогда не было создано.", 21 иметь мужество разный иметь смелость создавать выбирать сфера нечто значительный создавать 
"23. Страхи, которых вы избегаете, ограничивают ваши возможности.", 23 страх который избегать ограничивать ваш возможность 
"24. Вставайте в 5 утра и занимайтесь 60 минут подпиткой своего ума, тела, эмоций и духа. Это самое продуктивное время. Будьте супергероем!", 24 вставать 5 утро заниматься 60 минута подпитка свой ум тело эмоция дух это самый продуктивный время супергерой 
25. Пишите романтические письма своей семье., 25 писать романтический письмо свой семья 
26. Улыбайтесь незнакомцам., 26 улыбаться незнакомец 
28. Ведите ежедневник. Ваша жизнь того стоит., 28 вести ежедневник ваш жизнь стоить 
"29. Делайте больше, чем было заплачено, и делайте это так, чтобы у всех окружающих захватывало дух.", 29 делать заплатить делать это весь окружающий захватывать дух 
30. Каждое утро оставляйте свое эго за дверью., 30 каждый утро оставлять свой эго дверь 
31. Ежедневно ставьте себе 5 целей. Эти маленькие победы приведут вас к почти 2000 маленьких побед к концу года., 31 ежедневно ставить 5 цель маленький победа приводить 2000 маленький победа конец год 
32. Говорите СПАСИБО и ПОЖАЛУЙСТА., 32 говорить спасибо пожалуйста 
"33. Помните секрет счастья: делай работу, которая имеет значение, и будь необходимым в своем деле.", 33 помнить секрет счастие делать работа который иметь значение необходимый свой дело 
35. Жизнь коротка. Самый большой риск заключается в отсутствии риска и согласии быть посредственностью., 35 жизнь короткий самый большой риск заключаться отсутствие риск согласие посредственность 
"Лучше быть придурком, но живым, здоровым и счастливым, чем умником, но несчастным, больным и чуть-чуть мертвым.", придурок живой здоровый счастливый умник несчастный больной чуть-чуть мертвый 
"На сердце боль, в Душе тревога, порой трудна моя дорога.. Но я невзгодам не сдаюсь, смахну слезу, продолжу Путь, я Счастье встречу где-нибудь...", сердце боль душа тревога пора трудный дорога .. невзгода сдаваться смахивать слеза продолжать путь счастие встреча где-нибудь ... 
Так дышать не умею совсем., дышать уметь 
"Я с тобой, даже если по встречной,", встречный 
"Не выращивай в сердце печали росток,", выращивать сердце печаль росток 
"Книгу радостей выучи назубок,", книга радость выучивать назубок 
"Пей, приятель, живи по велению сердца:", пить приятель жить веление сердце 
Неизвестен отпущенный смертному срок., неизвестный отпускать смертный срок 
Если любовь закончилась - она и не начиналась., любовь заканчиваться начинаться 
"В Девушке должны быть красивы две вещи - это Взгляд и Губы, потому что взглядом она может влюбить, а губами доказать, что любит.", девушка должный красивый вещь это взгляд губа взгляд мочь влюблять губа доказывать любить 
"... и если вам будут говорить про меня гадости... верьте каждому слову! Про Вас столько наговорили гадостей, что я даже зауважала.", ... говорить гадость ... верить каждый слово столько наговаривать гадость зауважать 
"Симпатия зарождается словами,", симпатия зарождаться слово 
Для любви нужны подвиги., любовь нужный подвиг 
"Мы больше в этот мир вовек не попадем,", мир вовек попадать 
вовек не встретимся с друзьями за столом., вовек встречаться друг стол 
его не подстеречь уж никогда потом., подстерегать 
"Молодость хороша не тем, что дает возможность делать глупости, а тем, что дает время на их исправление.", молодость хороший давать возможность делать глупость давать время исправление 
"Наше счастье зависит куда более от того, как мы встречаем события нашей жизни, чем от самих этих событий...", наш счастие зависеть встречать событие наш жизнь событие ... 
"Не учите детей быть богатыми. Учите их быть счастливыми. Когда они вырастут, будут знать ценность вещей, а не их цену.", учить ребенок богатый учить счастливый вырастать знать ценность вещь цена 
Для меня есть один авторитет, авторитет 
Для меня есть одна королева, королева 
"Меня никогда не отталкивала бедность человека, другое дело, если бедны его душа и помыслы.", отталкивать бедность человек дело бедный душа помысел 
"Я люблю тебя не за то, кто ты, а за то, кто я, когда я с тобой.", любить 
"Не гордитесь своей внешностью, потому что не вы ее создали. Гордитесь своей душой. Вы являетесь ее скульптором.", гордиться свой внешность создавать гордиться свой душа являться скульптор 
Глаза умеют говорить. Кричать от счастья или плакать., глаз уметь говорить кричать счастие плакать 
"Глазами можно ободрить, с ума свести, заставить плакать.", глаз ободрять ум сводить заставлять плакать 
"Словами можно обмануть, глазами это невозможно.", слово обманывать глаз это невозможный 
"Во взгляде можно утонуть, если смотреть неосторожно.", взгляд утопать смотреть неосторожно 
"Никогда не отказывайся от того, что заставляет тебя улыбаться.", отказываться заставлять улыбаться 
"Каждое мгновение жизни божественно тем, что оно никогда больше не повторится.", каждый мгновение жизнь божественно оно повторяться 
"Не ломайте крылья тем, кто вас любит.", ломать крыло любить 
Сейчас ты держишь в руках телефон или сидишь за компьютером. Поверь. На данный момент это не важно. Просто послушай меня. Просто слушай. Постарайся это максимально представить., держать рука телефон сидеть компьютер поверять данный момент это важный просто послушать просто слушать постараться это максимально представлять 
"Стремись не к тому, чтобы добиться успеха, а к тому, чтобы твоя жизнь имела смысл!", стремиться добиваться успех твой жизнь иметь смысл 
"Некоторые теряют таких женщин, становятся пустыми и их больше никто и никогда не сможет наполнить. Цените, а если еще не время, берегите ее и помните, такое бывает один раз.", некоторые терять женщина становиться пустой никто смочь наполнять ценить время беречь помнить бывать 
"Опасайся плениться красавицей, друг!", опасаться пленяться красавица друг 
Ибо это прекрасное царство не вечно:, ибо прекрасный царство вечно 
"Любовь приносит только боль. Она как наркотик. Сначала тебе очень хорошо, но потом начинается ломка, и ты просто умираешь.", любовь приносить боль наркотик сначала очень начинаться ломка просто умирать 
"Зеркало это мой лучший друг, потому что когда я плачу оно никогда не смеется.", зеркало это хороший друг плакать оно смеяться 
"Нет у мира начала, конца ему нет,", мир начало конец 
"Этот мир был до нас и вовеки пребудет,", мир вовеки пребыть 
После нас простоит еще тысячу лет., простаивать тысяча год 
"Такая добрая, добрая грусть -", добрый добрый грусть 
Еще чуть-чуть - и я точно свихнусь., чуть-чуть точно свихиваться 
Потеря родного человека часто рождает в нас запоздалое раскаяние., потеря родной человек часто рождать запоздалый раскаяние 
У женщины две великие задачи: возбуждать и успокаивать., женщина великий задача возбуждать успокаивать 
"Ты не дружи со мной, если не до старости!", дружить старость 
"Ты не люби меня, если не на вечность!", любить вечность 
В гости к Богу не бывает опозданий., гость бог бывать опоздание 
"Будьте счастливы, ведь это так всех раздражает.", счастливый это раздражать 
"Я знаю этот мир: в нем вор сидит на воре. Мудрец проигрывает в споре с глупцом. Бесчестный честного стыдит, а капля счастья тонет в море горя.", знать мир немой вор сидеть вор мудрец проигрывать спор глупец бесчестный честный стыдить капля счастие тонуть море горе 
"Мы должны полноценно проживать каждый день, чтобы, оглядываясь назад, испытывать удовлетворение.", должный полноценный проживать каждый день оглядываться назад испытывать удовлетворение 
Чтобы догнать счастье - нужно оседлать мечту., догнать счастие нужно оседлывать мечта 
"Я стою в стороне и смотрю, и меня глубоко умиляет, что тысячи и тысячи людей идут за такими людьми, которые не верят в людей.", стоять сторона смотреть глубоко умилять тысяча тысяча человек идти человек который верить человек 
"Жизнь - как фотография: получается лучше, когда ты улыбаешься.", жизнь фотография получаться улыбаться 
"То, что ты ищешь всю жизнь, может быть ближе, чем ты думаешь. Оглянись!", искать весь жизнь мочь близко думать оглянуться 
"- Я могу быть какой угодно: веселой, грустной, печальной, сумасшедшей. Не надо обращать внимание, его надо уделять.", мочь угодно веселый грустный печальный сумасшедший обращать внимание уделять 
"Перед тем как излить душу, убедитесь, что сосуд не протекает.", изливать душа убеждаться сосуд протекать 
"Чем гуще тьма, тем ярче свет.", гуща тьма ярко свет 
"Два года назад я узнал от тибетских монахов, что три самые страшные вещи, которые могут произойти с человеком - это красота, слава и богатство.", год назад узнавать тибетский монах самый страшный вещь который мочь происходить человек это красота слава богатство 
"Для женщины , не сумевшей родить и воспитать ребенка, жизнь прожита зря , каких бы карьерных высот она не достигла.", женщина суметь рожать воспитывать ребенок жизнь проживать зря карьерный высота достигать 
Не надо превращать книгу жизни в рулон туалетной бумаги., превращать книга жизнь рулон туалетный бумага 
Я не люблю одиночество. Просто не завожу лишних знакомств - чтобы в людях лишний раз не разочаровываться., любить одиночество просто заводить лишний знакомство человек лишний разочаровываться 
Спору нет вы очень хороши, спор очень хороший 
"Ну а то, что нет у вас души,-", душа 
Не волнуйтесь. Этого не видно, волноваться это видно 
"За каждую минуту злости, вы теряете 60 секунд счастья.", каждый минута злость терять 60 секунда счастие 
"Женщины, которым за тридцать, находятся в своей лучшей форме, но мужчины, которым за тридцать, слишком стары, чтобы это понять.", женщина который тридцать находиться свой хороший форма мужчина который тридцать слишком старый это понимать 
"Бесценны те люди, с которыми даже молчание кажется душевным разговором.", бесценный человек который молчание казаться душевный разговор 
"1 год - это 365 дней, 1 день складывается из 24 часов, 1 час составляет 60 минут. Но одна минута без тебя как вечность.", 1 год это 365 день 1 день складываться 24 часы 1 час составлять 60 минута минута вечность 
"Люди были созданы для того, чтобы их любили, а вещи были созданы для того, чтобы ими пользовались. Мир в хаосе потому, что все наоборот.", человек создавать любить вещь создавать пользоваться мир хаос наоборот 
"Обидеть женщину не только некрасиво, но и опасно. Женщины умеют мстить.", обижать женщина некрасиво опасный женщина уметь мстить 
"Самая большая ненависть возникает к тем, кто сумел дотронуться до сердца, а затем плюнул в душу.", самый большой ненависть возникать суметь дотрагиваться сердце затем плюнуть душа 
"Прежде чем говорить людям, что у них слабый характер, попробуйте прожить их жизнь.", прежде говорить человек слабый характер попробовать проживать жизнь 
Лучший способ сохранить любовь мужчины - не выходить за него замуж., хороший способ сохранять любовь мужчина выходить замуж 
"Для того, чтобы быть красивой, женщине достаточно иметь черный свитер, черную юбку и идти под руку с мужчиной, которого она любит.", красивый женщина достаточно иметь черный свитер черный юбка идти рука мужчина который любить 
"Русский человек умеет только любить и ненавидеть. А европейский человек умеет, в основном, уважать. Русский не уважает никого.", русский человек уметь любить ненавидеть европейский человек уметь основной уважать русский уважать никто 
"Берегите людей, после встречи с которыми что-то светлое и радостное поселяется в вашей душе.", беречь человек встреча который что-то светлый радостный поселяться ваш душа 
"Уж лучше не обладать благородной наружностью, чем маскировать ею отсутствие душевного благородства.", обладать благородный наружность маскировать отсутствие душевный благородство 
Самая трудная вещь из всех - это, самый трудный вещь это 
"Отпустить того, кого любишь", отпускать любить 
"Когда знаешь, о чем поговорить с человеком, это - признак взаимной симпатии. Когда вам есть о чем вместе помолчать, это - начало настоящей дружбы.", знать поговорить человек это признак взаимный симпатия вместе помолчать это начало настоящий дружба 
"Самое прекрасное в музыке,что она задевает душу,не причиняя боли.", самый прекрасный музыка задевать душа причинять боль 
"Я узнал главное - чтобы стать счастливым, надо пережить состояние ужасной несчастливости.", узнавать главное становиться счастливый переживать состояние ужасный несчастливость 
"Не откладывай свои планы, если на улице дождь, сильный ветер.", откладывать свой план улица дождь сильный ветер 
"Не отказывайся от мечты, если в тебя не верят люди.", отказываться мечта верить человек 
"Иди наперекор природе, людям. Ты личность. Ты сильный!", идти наперекор природа человек личность сильный 
"Добро не одевает маску зла, но часто зло под маскою добра, творит свои безумные дела.", добро одевать маска зло часто зло маска добро творить свой безумный дело 
"Люди всегда сильнее любят тех, кто им совершенно не подходит. Это особенно верно для женщин.", человек сильный любить совершенно подходить это особенно верно женщина 
"Не оплакивай, смертный, вчерашних потерь,", оплакивать смертный вчерашний потеря 
"Дел сегодняшних завтрашней меркой не мерь,", дело сегодняшний завтрашний мерка мерить 
"Ни былой, ни грядущей минуте не верь,", былой грядущий минута верить 
"Если вы каждый день живете так, как будто он последний, когда-нибудь вы окажетесь правы.", каждый день жить последний когда-нибудь оказываться правый 
"Цивилизованное общество напоминает ребенка, который ко дню своего рождения получил слишком много игрушек.", цивилизованный общество напоминать ребенок который ко день свой рождение получать слишком игрушка 
Намаз оказал удивительное воздействие на мое душевное состояние. Во время своей поездки в Турцию я увидел ролик о намазе мусульман и ощутил это воздействие., намаз оказывать удивительный воздействие душевный состояние время свой поездка турция увидеть ролик намаз мусульманин ощущать воздействие 
"Где двое нежно влюблены, страдает кто-то третий.", двое нежно влюбленный страдать кто-то третий 
"Величайший акт веры состоит в том, что человек понимает, что он - не Бог.", великий акт вера состоять человек понимать бог 
"Если хочешь узнать, что думает о тебе твой знакомый, разозли его.", хотеть узнавать думать твой знакомый разозлить 
"завидуют, они всего лишь", завидовать лишь 
"Любовь - нежное чувство: она не терпит предательства и лжи, сгорает в огне ревности, разбивается о стену измены и притворства. раните любовь, как зеницу ока.", любовь нежный чувство терпеть предательство ложь сгорать огонь ревность разбиваться стена измена притворство ранить любовь зеница око 
"И как бы много женщина не работала, у нее всегда должен быть вид - красивой бездельницы.", женщина работать должный вид красивый бездельница 
"Молодость вечна для тех, кто сохраняет молодость души.", молодость вечный сохранять молодость душа 
"очешь тронуть розу - рук иссечь не бойся,", очешь тронуть роза рука иссечь бояться 
очешь пить - с похмелья хворым слечь не бойся., очешь пить похмелье хворый слегать бояться 
"А любви прекрасной, трепетной и страстной", любовь прекрасный трепетный страстный 
очешь - понапрасну сердце сжечь не бойся!, очешь понапрасну сердце сжигать бояться 
"Только женщина, имеющая детей, понимает, как приятно пить чай в тишине в 2 часа ночи!", женщина иметь ребенок понимать приятно пить чай тишина 2 час ночь 
"Если ты будешь улыбаться, буду улыбаться и я. И совсем не важно, увидишь ли ты мою улыбку, или увижу ли я твою. Ведь важнее не то, что мы видим. Куда важнее то, что мы чувствуем.", улыбаться улыбаться важно увидеть улыбка увидеть твой важно видеть важный чувствовать 
"Я не могу быть частью общества,", мочь часть общество 
"В котором мужчины вместо того, чтобы носить на руках своих жен, одевают их, как проституток;", который мужчина вместо носить рука свой жена одевать проститутка 
Где нет понятия чести и достоинства;, понятие честь достоинство 
Где не держат данные обещания;, держать данные обещание 
"Где женщины не хотят детей, а мужчины не хотят заводить семью;", женщина хотеть ребенок мужчина хотеть заводить семья 
"Где дети, тратя деньги своих родителей, считают себя успешными, и где отцы, у которых есть пусть даже небольшая власть, заставляют чувствовать своих детей никем и ничем;", ребенок тратить деньги свой родитель считать успешный отец который пусть небольшой власть заставлять чувствовать свой ребенок никто ничто 
Стервами часто становятся от одиночества., стерва часто становиться одиночество 
"Крепко-накрепко, кто-то на небе,рукой.", крепко-накрепко кто-то небо рука 
