,id,Цитата,Автор
25,25,"Будьте менее любопытны о людях, но более любопытны об идеях. ",Мария Кюри
26,26,"У тебя есть враги? Хорошо. Значит, в своей жизни ты что-то когда-то отстаивал. ",Уинстон Черчилль
27,27,"Чемпионами становятся не в тренажёрных залах. Чемпиона рождает то, что у человека внутри: желания, мечты, цели. ",Мухаммед Али
28,28,Когда-нибудь не страшно умереть – страшно умереть вот сейчас. ,Александр Солженицын
29,29,"Люди – слишком сложные существа, чтобы понять их полностью. ",Том Хэнкс
30,30,"Я серьёзно отношусь к своей работе, а это возможно только при несерьёзном отношении к собственной персоне. ",Алан Рикман
31,31,"Перспектива рано умереть заставила меня понять, что жизнь стоит того, чтобы её прожить. ",Стивен Хокинг
32,32,Характер – это и есть судьба. ,Майя Плисецкая
33,33,Не так уж сложно изменить общество – сложно изменить себя. ,Нельсон Мандела
34,34,Внимай лишь одному учителю – Природе. ,Рембрандт
35,35,"Необходимо, чтобы художник, кроме глаза, воспитывал и свою душу. ",Василий Кандинский
36,36,"Успех – паршивый учитель. Он заставляет умных людей думать, что они не могут проиграть.", Билл Гейтс
37,37,"Я дышу, и значит – я люблю! Я люблю, и значит – я живу!",Владимир Высоцкий
38,38,"Не оборачивается тот, кто устремлён к звёздам. ",Леонардо да Винчи
39,39,Фантазия мужчины – лучшее оружие женщины. ,Софи Лорен
40,40,"Ненавижу советы – все, кроме своих. ",Джек Николсон
41,41,"То, что мы знаем, это капля, а то, что мы не знаем, это океан. ",Исаак Ньютон
42,42,"Я пью, чтобы окружающие меня люди становились интереснее. ",Эрнест Хемингуэй
43,43,"Ни высокий интеллект, ни воображение, ни то и другое вместе не творят гения. Любовь, любовь и любовь – вот в чём сущность гения. ",Вольфганг Амадей Моцарт
44,44,"Видите ли, художника отличает то, что в его жизни бывают минуты, когда он ощущает себя больше чем человеком. ",Ле Корбюзье
45,45,"Оправдайте, не карайте, но назовите зло злом. ",Фёдор Достоевский
46,46,"Шире открой глаза, живи так жадно, как будто через десять секунд умрёшь. Старайся увидеть мир. Он прекраснее любой мечты, созданной на фабрике и оплаченной деньгами. Не проси гарантий, не ищи покоя – такого зверя нет на свете. ",Рэй Брэдбери
47,47,"Любите искусство в себе, а не себя в искусстве. ",Константин Станиславский
48,48,"Любовь к собственному благу производит в нас любовь к отечеству, а личное самолюбие – гордость народную, которая служит опорою патриотизма.",Николай Карамзин
49,49,Громким смехом не скроешь дикой боли.,Марина Цветаева
50,50,"Люди, которые воспринимают все пустяки близко к сердцу — больше всех способны искренне любить.",Лев Толстой
51,51,"Не красота вызывает любовь, а любовь заставляет нас видеть красоту.",Лев Толстой
52,52, Берегите в себе человека.,Антон Чехов
53,53,"Падает тот, кто бежит. Тот, кто ползет, не падает.",Плиний Старший
54,54,Влюбиться? Влюбляться не значит любить. Влюбиться можно и ненавидя.,Фёдор Достоевский
55,55,"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.",Альберт Эйнштейн
56,56,"Ты никогда не пройдёшь свой путь до конца, если будешь останавливаться, чтобы бросить камень в каждую тявкающую собаку.",Уинстон Черчилль
57,57,"Не оборачивается тот, кто устремлён к звёздам. ",Леонардо да Винчи
58,58,"Когда кажется, что весь мир настроен против тебя, помни, что самолёт взлетает против ветра!",Генри Форд
59,59,"Возраст — это то, что существует в наших мыслях. Если вы о нем не думаете — его нет.",Марк Твен
60,60,"Если тебе тяжело, значит ты поднимаешься в гору. Если тебе легко, значит ты летишь в пропасть.",Генри Форд
61,61,"Моё ""люблю"" очень дорогого стоит. Говорю это редко и мало кому.",Владимир Высоцкий
62,62,Очень часто лучшее лекарство — это обойтись без него.,Гиппократ
63,63,"Мы находимся здесь, чтобы внести свой вклад в этот мир. Иначе зачем мы здесь?",Стив Джобс
64,64,Мечтайте о великом: лишь великие мечты в силах затронуть людские души.,Марк Аврелий
65,65,"Ничто не приносит так много страданий, как большое количество удовольствия; ничто так сильно не связывает, как безграничная свобода",Бенджамин Франклин
66,66,"Человек меньше всего похож на себя, когда говорит от своего имени. Дайте ему маску, и он расскажет всю правду. ",Оскар Уайлд
67,67,"Мы должны признать очевидное: понимают лишь те, кто хочет понять.",Бернар Вербер
68,68,"Каждый человек – это мир, который с ним рождается и с ним умирает.",Генрих Гейне
69,69,"Надо всегда быть радостным. Если радость кончается, ищи, в чем ошибся.",Лев Толстой
70,70,"Испытай один раз полёт, и твои глаза навечно будут устремлены в небо. Однажды там побывав, на всю жизнь обречён тосковать о нём. ",Леонардо да Винчи
71,71,"Человек — ощущает себя, свои мысли и чувства, отделенными от всего мира — и это его оптический обман. Эта иллюзия стала темницей для нас, ограничивающей нас миром собственных желаний. Наша задача — освободиться из этой тюрьмы, расширив сферу своего участия до всякого живого существа, до целого мира. Никто не сможет выполнить эту задачу до конца, но попытки достичь этой цели, являются частью освобождения.",Альберт Эйнштейн
72,72,Все дело в мыслях. Мысль — начало всего. И мыслями можно управлять. И потому главное дело совершенствования: работать над мыслями.,Лев Толстой
73,73,Перестать читать книги — значит перестать мыслить.,Фёдор Достоевский
74,74,"Сражение выигрывает тот, кто твердо решил его выиграть.",Лев Толстой
75,75,"Настоящий мужчина – это мужчина, который точно помнит день рождения женщины и никогда не знает, сколько ей лет. Мужчина,который никогда не помнит дня рождения женщины, но точно знает, сколько ей лет– это ее муж.",Фаина Раневская
76,76,"Для человека, если на то пошло, память — это все. Память- это индивидуальность. Память-это ты.",Стивен Кинг
77,77,Отпускайте идиотов и клоунов из своей жизни. Цирк должен гастролировать!,Фаина Раневская
78,78,"Если ты будешь колоть дрова сам, то согреешься ими дважды.",Генри Форд
79,79,"Уважать всякого человека, как самого себя, и поступать с ним, как мы желаем, чтобы с нами поступали, — выше этого нет ничего.",Конфуций
80,80,"Сдерживать себя, когда обидно, и не устраивать сцен, когда больно — вот что такое идеальная женщина.",Коко Шанель
81,81,"Величайшее в жизни счастье- это уверенность в том, что нас любят. Любят за то, что мы такие, какие мы есть.",Виктор Гюго
82,82,"Постарайтесь получить то, что любите, иначе придется полюбить то, что получили. ",Бернард Шоу
83,83,"Держитесь подальше от тех мелких людишек, которые стремятся лишить Вас Ваших амбиций.Лучше водите дружбу с великими людьми.",Марк Твен
84,84,"Ваша идея, конечно, безумна. Весь вопрос в том, достаточно ли она безумна, чтобы оказаться верной. ",Нильс Бор
85,85,"Музыка принадлежит всем. Только фирмы звукозаписи еще верят, что ее владельцы — они.",Джон Леннон
86,86,"Есть любовь, которая мешает человеку жить. ",Максим Горький
87,87,Возненавидеть жизнь можно только вследствие апатии и лени.,Лев Толстой
88,88,"Избегайте тех, кто старается подорвать вашу веру в себя. Эта черта свойственна мелким людям. Великий человек, наоборот, внушает вам чувство, что и вы можете стать великим.",Марк Твен
89,89,"В конце концов, ты вспомнишь не слова врагов, а молчание друзей. ",Мартин Лютер Кинг
90,90,Мой способ шутить это говорить правду.На свете нет ничего смешнее.,Бернард Шоу
91,91,"Кто счастлив сам, другим зла не желает. ",Лев Толстой
92,92,"Мы часто повторяем, что о человеке судят по его делам, но забываем иногда, что слово тоже поступок. Речь человека — зеркало его самого.",Лев Толстой
93,93,Я очень ценю две вещи — душевную близость и способность доставлять радость. ,Ричард Бах
94,94,"Запомни: неразрешимая проблема, непримиримое противоречие вынуждают тебя превозмочь себя, а значит, вырасти — иначе с ними не справишься.",Антуан де Сент-Экзюпери
95,95,"Если вы делаете что-то прекрасное и возвышенное, а этого никто не замечает — не расстраивайтесь: восход солнца — это вообще самое прекрасное зрелище на свете, но большинство людей в это время еще спит.",Джон Леннон
96,96,"Женщины хотят меняться. Они не правы. Я за счастье. А счастье в постоянстве и в том, чтобы не изменяться.",Коко Шанель
97,97,Я решил пройти по жизни с любовью. Ненависть — слишком тяжелое бремя.,Мартин Лютер Кинг
98,98,"Я никогда не слушаю никого, кто критикует мои космические путешествия, мои аттракционы или моих горилл. Когда это происходит, я просто упаковываю моих динозавров и выхожу из комнаты.",Рэй Брэдбери
99,99,"Я всегда буду мечтать, и не перестану, пока не остановит пуля. ",Че Гевара
100,100,"Каждый из нас вынужден жить в той реальности, которую он сам для себя выбрал. Трагедия состоит в том, что почти никто не делает этот выбор осознанно, поэтому и реальность нередко получается та еще…",Макс Фрай
101,101,"Все относительно. Ты должен осознать, что люди имеют право мыслить не так, как мыслишь ты, и не делать того, чего ты от них ожидаешь. Они, вероятно, любят тебя, но их любовь может проявляться не так, как ты хочешь.",Бернард Шоу
102,102,"Чтение в кровати — это рай, если на книгу падает достаточно света и если не проливать на страницы кофе или коньяк.",Стивен Кинг
103,103,Умение прощать — свойство сильных. Слабые никогда не прощают. ,Махатма Ганди
104,104,"То, что Вы называете любовью, я называю у Вас хорошим расположением духа. Чуть Вам плохо (нелады дома, дела, жара) — я уже не существую. ",Марина Цветаева
105,105,"Успех — это умение двигаться от неудачи к неудаче, не теряя энтузиазма.",Уинстон Черчилль
106,106,"А в начале пути мало кто в нас верит, не правда ли? ",Квентин Тарантино
107,107,"Мы не имеем право потреблять счастье,не производя его.",Бернард Шоу
108,108,"Я не могу примириться с мыслью, что жизнь проходит так быстро, а я не живу по-настоящему.",Эрнест Хемингуэй
109,109,"Секрет того, чтобы добиться чего-то – начать.",Марк Твен
110,110,"Бог посылает нам испытания, чтобы мы, преодолевая их, укреплялись, а не отчаивались!",Мать Тереза
111,111,"Пожалуйста, верьте в себя, ничего не бойтесь, будьте свободными, рискуйте. Понимаете, жизнь такая штука, что вот вроде бы ты молодой, молодой, молодой, а потом — бац и конец. Оглядываешься и думаешь о том, как много всего не сделал, потому что боялся, стеснялся, струсил.Не надо ничего бояться. Рискуйте. Пусть даже вы ошибетесь. Это жизнь. И главное, конечно, любите друг друга. Всегда, каждую минуту. Любите…",Людмила Гурченко
112,112,"Если драгоценный камень попадает в грязь, он остается драгоценностью. Если пыль подымается к небу, она остается пылью. ",Муслихаддин Саади
113,113,"При общении с человеком мне все равно, кто передо мной: великий или обычный человек или же нищий. Самое главное — улыбка и искренность на лице. Различие в религии, культуре, языке, расе — все это неважно. Образованный человек или нет, богач или бедняк — все равно. Открывая свое сердце и сознание, я принимаю людей как своих старых друзей.",Далай Лама
114,114,"Делай то, чего хочет от тебя твое тело: добивайся славы, почестей, богатства, — и жизнь твоя будет адом. Делай то, чего хочет от тебя дух, живущий в тебе: добивайся смирения, милосердия, любви, — и тебе не нужно будет никакого рая. Рай будет в душе твоей.",Лев Толстой
115,115,"Никто не прожил жизнь, подобную моей. Я ничего не понимала. Никто меня ничему не учил. До всего должна была дойти сама.",Коко Шанель
116,116,"Наши страсти подобны фениксу. Когда сгорает одна страсть, из пепла рождается другая.",Гете
117,117,"Если ты хочешь построить корабль, не надо созывать людей, чтобы все спланировать, разделить работу, достать инструменты и рубить деревья, надо заразить их стремлением к бесконечному морю. Тогда они сами построят корабль.",Антуан Сент-Экзюпери
118,118,"2 процента людей — думает, 3 процента — думает, что они думают, а 95 процентов людей лучше умрут, чем будут думать.",Бернард Шоу
119,119,"Красота заключается не в том, чтобы иметь красивое лицо. А в том, чтобы иметь красивые мысли, красивое сердце и красивую душу.",Антон Чехов
120,120,"Мы часто повторяем, что о человеке судят по его делам, но забываем иногда, что слово тоже поступок. Речь человека — зеркало его самого. ",Лев Толстой
121,121,Женщины говорят о любви и молчат о любовниках. Мужчины — наоборот. ,Марина Цветаева
